rownames(topologies_DEGs_lipid_stress_data)	Feature	meta_logFC	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Condition	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership
113	MSF1	2.86570136355565	0.027256162365916	0.0385460344761215	YPR047W	S000006251	ORF	657529	658938	1	1410	XVI	Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)	1410	Lipid metabolism-coding genes	1029.54613997105	12	Non-Hub-Non-Bottleneck	NHNB	17
114	MSS2	2.56785214363274	0.0523931314513712	0.0740950770737256	YDL107W	S000002265	ORF	268921	269976	1	1056	IV	Mitochondrial Splicing	1056	Lipid metabolism-coding genes	0	2	Non-Hub-Non-Bottleneck	NHNB	23
115	NAP1	5.06486128072014	0.536692448912953	0.758997740075927	YKR048C	S000001756	ORF	525387	526640	-1	1254	XI	Nucleosome Assembly Protein	1254	Proteostasis-coding genes	6505.07786352322	43	Hub-Bottleneck	HB	4
116	NCP1	2.29624982479018	0.0794585830320153	0.112371405770825	YHR042W	S000001084	ORF	190543	192618	1	2076	VIII	NADP-Cytochrome P450 reductase	2076	Lipid metabolism-coding genes	6695.66558770215	31	Hub-Bottleneck	HB	2
117	NDI1	2.81001829715825	0.044314667609729	0.0626704039457345	YML120C	S000004589	ORF	28266	29807	-1	1542	XIII	NADH Dehydrogenase Internal	1542	Lipid metabolism-coding genes	2220.12530291114	34	Hub-Bottleneck	HB	23
118	OLE1	2.12325448090736	0.00691406581912846	0.0097779656525517	YGL055W	S000003023	ORF	398628	400160	1	1533	VII	OLEic acid requiring	1533	Lipid metabolism-coding genes	5677.36336702121	30	Hub-Bottleneck	HB	4
119	OPI3	3.48867644350492	2.97613121142959e-05	4.20888512260559e-05	YJR073C	S000003834	ORF	572315	572935	-1	621	X	OverProducer of Inositol	621	Lipid metabolism-coding genes	861.969429896217	18	Non-Hub-Non-Bottleneck	NHNB	1
120	ORM2	4.12480433675711	0.184736763485867	0.261257236390624	YLR350W	S000004342	ORF	828730	829380	1	651	XII		651	Proteostasis-coding genes	2088.38534222971	35	Hub-Bottleneck	HB	6
121	OTU1	2.37339172333999	0.131664124209024	0.186201190134378	YFL044C	S000001850	ORF	44655	45560	-1	906	VI	Ovarian TUmor	906	Proteostasis-coding genes	102.306698927385	11	Non-Hub-Non-Bottleneck	NHNB	4
122	PAM16	2.173894310285	0.136095162538534	0.192467624635366	YJL104W	S000003640	ORF	227327	227776	1	450	X	Presequence translocase-Associated Motor	450	Proteostasis-coding genes	223.220713621637	29	Hub-Non-Bottleneck	HNB	3
123	PAM18	2.25116274852029	0.066756145873236	0.094407446865687	YLR008C	S000003998	ORF	165577	166083	-1	507	XII	Presequence translocase-Associated Motor	507	Proteostasis-coding genes	223.220713621637	29	Hub-Non-Bottleneck	HNB	3
124	PCD1	2.36138919216413	0.283084684522146	0.400342200151327	YLR151C	S000004141	ORF	441715	442737	-1	1023	XII	Peroxisomal Coenzyme A Diphosphatase	1023	Lipid metabolism-coding genes	116.058563948778	9	Non-Hub-Non-Bottleneck	NHNB	11
125	PDA1	2.54615139482142	0.0786151717037789	0.111178642031774	YER178W	S000000980	ORF	546817	548079	1	1263	V	Pyruvate Dehydrogenase Alpha	1263	Lipid metabolism-coding genes	2913.77890560971	39	Hub-Bottleneck	HB	9
126	PDB1	2.96202720346252	0.0998538090965029	0.141214611078888	YBR221C	S000000425	ORF	665153	666253	-1	1101	II	Pyruvate Dehydrogenase Beta subunit	1101	Lipid metabolism-coding genes	5817.26976609787	46	Hub-Bottleneck	HB	9
127	PDI1	2.92869041082418	0.112238641912414	0.158729409614873	YCL043C	S000000548	ORF	48653	50221	-1	1569	III	Protein Disulfide Isomerase	1569	Proteostasis-coding genes	3019.99060439258	25	Non-Hub-Bottleneck	NHB	2
128	PEP4	3.93150603714858	0.0828473832253769	0.117163892964449	YPL154C	S000006075	ORF	259714	260931	-1	1218	XVI	carboxyPEPtidase Y-deficient	1218	Autophagy-coding genes	4412.16320984063	36	Hub-Bottleneck	HB	2
129	PET100	2.2048780253375	0.123000814294852	0.173949419758714	YDR079W	S000002486	ORF	603064	603399	1	336	IV	PETite colonies	336	Proteostasis-coding genes	0	1	Non-Hub-Non-Bottleneck	NHNB	36
130	PHB1	2.23974567901659	0.175511563251879	0.24821083310411	YGR132C	S000003364	ORF	755589	756452	-1	864	VII	ProHiBitin	864	Proteostasis-coding genes	2587.36470388855	22	Non-Hub-Bottleneck	NHB	4
131	PHB2	3.20979280149094	0.187283318113636	0.264858608482539	YGR231C	S000003463	ORF	952548	953480	-1	933	VII	ProHiBitin	933	Proteostasis-coding genes	1675.50783543009	19	Non-Hub-Bottleneck	NHB	4
132	PHO86	2.23211131870409	0.0862777971831634	0.122015230908105	YJL117W	S000003653	ORF	192531	193466	1	936	X	PHOsphate metabolism	936	Proteostasis-coding genes	1039.74576399217	9	Non-Hub-Non-Bottleneck	NHNB	6
133	PIM1	2.24110371932858	0.0631436623579891	0.0892986236845756	YBL022C	S000000118	ORF	177874	181275	-1	3402	II	Proteolysis In Mitochondria	3402	Lipid metabolism-coding genes	2216.99604568923	29	Hub-Bottleneck	HB	2
134	PKP1	2.80105084520998	0.0811871787540748	0.114816009284821	YIL042C	S000001304	ORF	275108	276292	-1	1185	IX	Protein Kinase of PDH	1185	Lipid metabolism-coding genes	10.135454752482	6	Non-Hub-Non-Bottleneck	NHNB	9
135	PLB2	2.07242716110082	0.0209907289733668	0.0296853735982333	YMR006C	S000004608	ORF	277561	279681	-1	2121	XIII	PhosphoLipase B	2121	Lipid metabolism-coding genes	5.3663769382199	6	Non-Hub-Non-Bottleneck	NHNB	1
136	PMT1	2.5294031394644	0.0479822826555751	0.0678571948851337	YDL095W	S000002253	ORF	287059	289512	1	2454	IV	Protein O-MannosylTransferase	2454	Proteostasis-coding genes	1938.03046222242	25	Non-Hub-Bottleneck	NHB	29
137	POT1	3.20850209212166	0.139332510972965	0.197045926697465	YIL160C	S000001422	ORF	40191	41444	-1	1254	IX	Peroxisomal Oxoacyl Thiolase	1254	Lipid metabolism-coding genes	6394.90069574265	40	Hub-Bottleneck	HB	2
138	POX1	2.51526723711918	0.0106737874451608	0.0150950149668341	YGL205W	S000003173	ORF	108158	110404	1	2247	VII		2247	Lipid metabolism-coding genes	4000.36061848677	28	Hub-Bottleneck	HB	2
139	PTC2	3.56292982779225	1.32738903738441	1.8772115792144	YER089C	S000000891	ORF	335946	337340	-1	1395	V	Phosphatase Two C	1395	Proteostasis-coding genes	2346.56554176979	26	Non-Hub-Bottleneck	NHB	4
140	PUT1	3.22455824520892	0.219038727516572	0.309767539138881	YLR142W	S000004132	ORF	425186	426616	1	1431	XII	Proline UTilization	1431	Lipid metabolism-coding genes	570.142424099365	5	Non-Hub-Non-Bottleneck	NHNB	19
141	PXA1	2.34571702165685	0.122057949166682	0.172616007106968	YPL147W	S000006068	ORF	273255	275867	1	2613	XVI	PeroXisomal ABC-transporter	2613	Lipid metabolism-coding genes	95.3119806144817	6	Non-Hub-Non-Bottleneck	NHNB	8
142	PXA2	2.29227531408515	0.0739637887089721	0.104600593116726	YKL188C	S000001671	ORF	86225	88786	-1	2562	XI	PeroXisomal ABC-transporter	2562	Lipid metabolism-coding genes	274.447681941802	9	Non-Hub-Non-Bottleneck	NHNB	8
143	RPL5	3.27883855095373	0.330977202810979	0.468072449051597	YPL131W	S000006052	ORF	303121	304014	1	894	XVI	Ribosomal Protein of the Large subunit	894	Proteostasis-coding genes	1977.12396001641	105	Hub-Bottleneck	HB	11
144	RRI1	2.13925545162664	0.00374659869526983	0.00529849068761994	YDL216C	S000002375	ORF	68997	70319	-1	1323	IV	Regulator of Rub1 specific Isopeptidase	1323	Lipid metabolism-coding genes	389.578406375425	24	Non-Hub-Non-Bottleneck	NHNB	4
145	RTN1	2.87156000494014	0.0881537318257564	0.124668203121785	YDR233C	S000002641	ORF	929470	930357	-1	888	IV	ReTiculoN-like	888	Proteostasis-coding genes	992.258986098885	10	Non-Hub-Non-Bottleneck	NHNB	6
146	RTT106	2.17495224444793	0.0565295961533756	0.0799449215555777	YNL206C	S000005150	ORF	256788	258155	-1	1368	XIV	Regulator of Ty1 Transposition	1368	Proteostasis-coding genes	555.257015534414	25	Non-Hub-Non-Bottleneck	NHNB	14
147	SAH1	4.05857459406878	0.409268335768122	0.578792831093144	YER043C	S000000845	ORF	235770	237119	-1	1350	V	S-Adenosyl-l-Homocysteine hydrolase	1350	Lipid metabolism-coding genes	412.851228005256	13	Non-Hub-Non-Bottleneck	NHNB	18
148	SBA1	6.04426171449253	0.298794019793184	0.422558555147495	YKL117W	S000001600	ORF	220324	220974	1	651	XI	increased Sensitivity to Benzoquinone Ansamycins	651	Proteostasis-coding genes	1466.67565072626	18	Non-Hub-Non-Bottleneck	NHNB	4
149	SCS3	2.5906708586508	0.0103566082315485	0.0146464558212407	YGL126W	S000003094	ORF	270997	272139	1	1143	VII	Suppressor of Choline Sensitivity	1143	Lipid metabolism-coding genes	75.9145216336856	5	Non-Hub-Non-Bottleneck	NHNB	10
150	SEC17	3.78117134065255	0.00623388964928884	0.00881605128836153	YBL050W	S000000146	ORF	125125	126119	1	995	II	SECretory	995	Autophagy-coding genes	644.634025268943	22	Non-Hub-Non-Bottleneck	NHNB	5
151	SEC18	2.44302465325582	0.0790738490056211	0.111827309692792	YBR080C	S000000284	ORF	398614	400890	-1	2277	II	SECretory	2277	Lipid metabolism-coding genes	4947.36948970926	33	Hub-Bottleneck	HB	5
152	SEC4	3.05885504010985	0.0108910202323964	0.0154022285207348	YFL005W	S000001889	ORF	130334	130981	1	648	VI	SECretory	648	Autophagy-coding genes	7396.02347304343	62	Hub-Bottleneck	HB	6
153	SEC7	3.17714345744763	0.0292598739084138	0.0413797105146054	YDR170C	S000002577	ORF	796193	802222	-1	6030	IV	SECretory	6030	Autophagy-coding genes	3094.29054312146	30	Hub-Bottleneck	HB	6
154	SGT2	2.12277381013652	0.0144589420693648	0.0204480319720626	YOR007C	S000005533	ORF	338938	339978	-1	1041	XV	Small Glutamine-rich Tetratricopeptide repeat-containing protein	1041	Proteostasis-coding genes	1675.48698625244	36	Hub-Bottleneck	HB	4
155	SHQ1	2.08588805837553	0.0539667448989873	0.0763205025532769	YIL104C	S000001366	ORF	169982	171505	-1	1524	IX	Small nucleolar RNAs of the box H/ACA family Quantitative accumulation	1524	Proteostasis-coding genes	185.728256470315	8	Non-Hub-Non-Bottleneck	NHNB	8
156	SNO4	2.9753097907672	0.013581359390731	0.019206942645835	YMR322C	S000004941	ORF	918366	919079	-1	714	XIII	SNZ proximal Open reading frame	714	Proteostasis-coding genes	114.937912489279	10	Non-Hub-Non-Bottleneck	NHNB	20
157	SOD2	2.18688541978077	0.00850198425844972	0.0120236214453822	YHR008C	S000001050	ORF	122889	123590	-1	702	VIII	SuperOxide Dismutase	702	Lipid metabolism-coding genes	4702.82860975155	27	Hub-Bottleneck	HB	4
158	SPT4	2.17492146373853	0.11056801307186	0.15636678365087	YGR063C	S000003295	ORF	617516	617824	-1	309	VII	SuPpressor of Ty's	309	Autophagy-coding genes	2423.41856122603	42	Hub-Bottleneck	HB	14
159	SSA1	3.60346807592212	0.345904524712967	0.489182870135297	YAL005C	S000000004	ORF	139503	141431	-1	1929	I	Stress-Seventy subfamily A	1929	Proteostasis-coding genes	7008.874767738	56	Hub-Bottleneck	HB	4
160	SSA2	2.52706726591924	0.157625720291794	0.222916431415483	YLL024C	S000003947	ORF	95566	97485	-1	1920	XII	Stress-Seventy subfamily A	1920	Proteostasis-coding genes	906.846693836743	30	Hub-Non-Bottleneck	HNB	4
161	SSA3	3.93133975972033	0.302484131237132	0.427777160798196	YBL075C	S000000171	ORF	84499	86448	-1	1950	II	Stress-Seventy subfamily A	1950	Proteostasis-coding genes	954.012339000035	21	Non-Hub-Non-Bottleneck	NHNB	4
162	SSA4	4.27508788574088	0.387831808053205	0.548477002868521	YER103W	S000000905	ORF	364589	366517	1	1929	V	Stress-Seventy subfamily A	1929	Proteostasis-coding genes	3124.25946483969	39	Hub-Bottleneck	HB	4
163	SSB2	2.69786451799358	0.0218487445965176	0.0308987909292211	YNL209W	S000005153	ORF	252059	253900	1	1842	XIV	Stress-Seventy subfamily B	1842	Proteostasis-coding genes	716.808711064066	24	Non-Hub-Non-Bottleneck	NHNB	4
164	SSZ1	2.93460823706992	0.0403717356000124	0.0570942560220782	YHR064C	S000001106	ORF	225525	227141	-1	1617	VIII		1617	Proteostasis-coding genes	351.590950676895	14	Non-Hub-Non-Bottleneck	NHNB	4
165	SUV3	3.71050598177176	1.09381277865085	1.54688486626503	YPL029W	S000005950	ORF	495506	497719	1	2214	XVI	SUppressor of Var1	2214	Lipid metabolism-coding genes	1516.10333294204	12	Non-Hub-Non-Bottleneck	NHNB	8
166	SYT1	2.64534240177266	0.0186625207726563	0.0263927899847601	YPR095C	S000006299	ORF	721037	724717	-1	3681	XVI	Suppressor of ypt3	3681	Proteostasis-coding genes	37.3815225921656	7	Non-Hub-Non-Bottleneck	NHNB	6
167	TAM41	2.3060923433848	0.113808924379901	0.16095012437715	YGR046W	S000003278	ORF	584895	586052	1	1158	VII	Translocator Assembly and Maintenance	1158	Lipid metabolism-coding genes	766.428056909933	8	Non-Hub-Non-Bottleneck	NHNB	1
168	TAZ1	2.26775018255765	0.159573789822352	0.225671417766044	YPR140W	S000006344	ORF	814391	815536	1	1146	XVI	TAfaZzin	1146	Lipid metabolism-coding genes	3181.8507832636	30	Hub-Bottleneck	HB	3
169	TES1	2.31304243101487	0.145030181117809	0.205103649090231	YJR019C	S000003780	ORF	467232	468281	-1	1050	X	ThioESterase	1050	Lipid metabolism-coding genes	1365.59841821316	24	Non-Hub-Non-Bottleneck	NHNB	2
170	TIM12	2.71323653715514	0.0359189183528599	0.0507970214803863	YBR091C	S000000295	ORF	427155	427484	-1	330	II	Translocase of the Inner Membrane	330	Proteostasis-coding genes	632.083850698523	15	Non-Hub-Non-Bottleneck	NHNB	3
171	TIM17	2.34529324885634	0.179607141548892	0.254002855477507	YJL143W	S000003679	ORF	147101	147577	1	477	X	Translocase of the Inner Mitochondrial membrane	477	Proteostasis-coding genes	1566.83276916185	39	Hub-Non-Bottleneck	HNB	3
172	TIM54	2.62202015091787	0.185778171853367	0.262730010227911	YJL054W	S000003590	ORF	334265	335701	1	1437	X	Translocase of the Inner Mitochondrial membrane	1437	Proteostasis-coding genes	526.132321721669	44	Hub-Non-Bottleneck	HNB	3
173	TIM8	2.16402564804133	0.0785099789821972	0.11102987705825	YJR135W-A	S000007348	ORF	676971	677234	1	264	X	Translocase of the Inner Mitochondrial membrane	264	Proteostasis-coding genes	256.161261639129	21	Non-Hub-Non-Bottleneck	NHNB	3
174	TIM9	3.56935806198054	0.00922465644459747	0.0130456342521821	YEL020W-A	S000007256	ORF	117211	117474	1	264	V	Translocase of the Inner Mitochondrial membrane	264	Proteostasis-coding genes	741.022532319962	28	Hub-Non-Bottleneck	HNB	3
175	TML25	3.22545564679375	0.359897208488192	0.508971513304219	YLR118C	S000004108	ORF	384725	385408	-1	684	XII	acyl-protein Thioesterase with Multiple Localizations, protein of 25 kDa	684	Lipid metabolism-coding genes	19.9991769425994	3	Non-Hub-Non-Bottleneck	NHNB	2
176	TOM6	2.80429318356424	0.0598163816181625	0.0845931381364901	YOR045W	S000005571	ORF	413852	414037	1	186	XV	Translocase of the Outer Mitochondrial membrane	186	Proteostasis-coding genes	1825.82999337453	31	Hub-Bottleneck	HB	3
177	TOM7	2.22888159063238	0.0319772026977432	0.0452225937419019	YNL070W	S000005014	ORF	493366	493548	1	183	XIV	Translocase of the Outer Mitochondrial membrane	183	Proteostasis-coding genes	507.903254391674	29	Hub-Non-Bottleneck	HNB	3
178	TRS120	2.59713229464346	0.0275707685545798	0.0389909548149365	YDR407C	S000002815	ORF	1284069	1287938	-1	3870	IV	TRapp Subunit	3870	Autophagy-coding genes	12.4291327937208	7	Non-Hub-Non-Bottleneck	NHNB	6
179	TSA1	2.52084060871921	0.0384861258611835	0.0544276011560836	YML028W	S000004490	ORF	220138	220728	1	591	XIII	Thiol-Specific Antioxidant	591	Proteostasis-coding genes	8009.68547033044	38	Hub-Bottleneck	HB	24
180	TSC3	3.44272280926656	0.822285527475715	1.16288734509927	YBR058C-A	S000007521	ORF	356324	356566	-1	243	II	Temperature-sensitive Suppressors of Csg2 mutants	243	Lipid metabolism-coding genes	121.425091555242	10	Non-Hub-Non-Bottleneck	NHNB	4
181	UMP1	2.79977438225291	0.216582758854931	0.306294274948824	YBR173C	S000000377	ORF	581726	582172	-1	447	II	Ubiquitin-Mediated Proteolysis	447	Proteostasis-coding genes	165.233228992857	21	Non-Hub-Non-Bottleneck	NHNB	4
182	UPS1	3.52505318556673	0.176100853439804	0.249044215280047	YLR193C	S000004183	ORF	540009	540536	-1	528	XII	UnProceSsed	528	Lipid metabolism-coding genes	291.935823178088	6	Non-Hub-Non-Bottleneck	NHNB	21
183	UPS2	3.54025655967655	0.361356887493545	0.5110358111503	YLR168C	S000004158	ORF	499578	500270	-1	693	XII	UnProceSsed	693	Lipid metabolism-coding genes	64.5381078076506	3	Non-Hub-Non-Bottleneck	NHNB	21
184	VPS75	2.09595960781012	0.00780962404281427	0.0110444762383829	YNL246W	S000005190	ORF	185460	186349	1	890	XIV	Vacuolar Protein Sorting	890	Proteostasis-coding genes	76.2954412339862	12	Non-Hub-Non-Bottleneck	NHNB	14
185	WHI2	3.50768346751807	0.888563969656958	1.25661921692495	YOR043W	S000005569	ORF	410870	412330	1	1461	XV	WHIskey	1461	Autophagy-coding genes	298.521453984272	12	Non-Hub-Non-Bottleneck	NHNB	4
186	YAP1	2.15180789228469	0.109167358087861	0.154385958376294	YML007W	S000004466	ORF	253848	255800	1	1953	XIII	Yeast AP-1	1953	Proteostasis-coding genes	8619.07603889725	45	Hub-Bottleneck	HB	4
187	YDC1	2.82171955411297	0.0117737605639456	0.0166506118696654	YPL087W	S000006008	ORF	383455	384408	1	954	XVI	Yeast DihydroCeramidase	954	Lipid metabolism-coding genes	218.002488016194	11	Non-Hub-Non-Bottleneck	NHNB	27
188	YFH1	2.63475950264186	0.408912155782973	0.5782891165275	YDL120W	S000002278	ORF	245923	246447	1	525	IV	Yeast Frataxin Homolog	525	Lipid metabolism-coding genes	4222.46636651293	40	Hub-Bottleneck	HB	2
189	YHB1	3.38809762388257	0.0309583201145935	0.043781676174346	YGR234W	S000003466	ORF	959904	961103	1	1200	VII	Yeast flavoHemogloBin	1200	Lipid metabolism-coding genes	945.515591657214	14	Non-Hub-Non-Bottleneck	NHNB	4
190	YJU3	2.89454306971801	0.315107388172261	0.445629141957174	YKL094W	S000001577	ORF	263349	264290	1	942	XI		942	Lipid metabolism-coding genes	480.350922801415	14	Non-Hub-Non-Bottleneck	NHNB	1
191	YME1	3.0252055541654	0.0967223441359888	0.136786050861633	YPR024W	S000006228	ORF	610481	612724	1	2244	XVI	Yeast Mitochondrial Escape	2244	Proteostasis-coding genes	898.04023135375	18	Non-Hub-Non-Bottleneck	NHNB	3
192	YOS9	2.21661760480324	0.174471702633039	0.246740248113969	YDR057W	S000002464	ORF	565927	567555	1	1629	IV	Yeast OS-9 homolog	1629	Proteostasis-coding genes	1198.26545368483	18	Non-Hub-Non-Bottleneck	NHNB	4
193	YPT1	3.31045689650816	0.153457942604585	0.217022303685276	YFL038C	S000001856	ORF	55366	55986	-1	621	VI	Yeast Protein Two	621	Autophagy-coding genes	15953.7156716315	89	Hub-Bottleneck	HB	6
194	YPT31	4.07488462333903	0.145259389739355	0.205427799031435	YER031C	S000000833	ORF	214076	214747	-1	672	V	Yeast Protein Two	672	Autophagy-coding genes	3989.34871387217	45	Hub-Bottleneck	HB	6
195	YPT52	2.24482856728906	0.118492298852115	0.167573416073427	YKR014C	S000001722	ORF	465367	466071	-1	705	XI	Yeast Protein Two	705	Autophagy-coding genes	2178.7995108077	42	Hub-Bottleneck	HB	6
196	YPT6	2.288578041431	0.17171848183174	0.242846605916564	YLR262C	S000004252	ORF	668244	668891	-1	648	XII	Yeast Protein Two	648	Autophagy-coding genes	3770.59966553813	35	Hub-Bottleneck	HB	6
197	ZIM17	2.74503419937628	0.43668737083952	0.617569202358298	YNL310C	S000005254	ORF	51907	52431	-1	525	XIV	ZInc finger Motif protein of 17 kDa	525	Lipid metabolism-coding genes	70.8193978486739	5	Non-Hub-Non-Bottleneck	NHNB	14
