rownames(lipid_standardization_results_omics_attributes_b)	Feature	Main.class	combined_score	Gene	Mean_FC_12_6	Mean_FC_20_6	meta_logFC	node_type_abbrev	Cluster	Condition	Expression_data	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length
119	ACO1	NA	NA	NA	NA	NA	2.35192112686756	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.046717183088318	0.0660680739193663	YLR304C	S000004295	ORF	735212	737548	-1	2337	XII	ACOnitase	2337
120	ACP1	NA	NA	NA	NA	NA	3.42606896628811	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.205748342801181	0.290972096825219	YKL192C	S000001675	ORF	80160	80537	-1	378	XI	Acyl Carrier Protein	378
121	AFG3	NA	NA	NA	NA	NA	3.25398231614188	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0932567814752177	0.131885005145517	YER017C	S000000819	ORF	189503	191788	-1	2286	V	ATPase Family Gene	2286
122	AHA1	NA	NA	NA	NA	NA	2.51236896601562	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0823349907752324	0.116439260612197	YDR214W	S000002622	ORF	892875	893927	1	1053	IV	Activator of Heat shock protein 90 ATPase	1053
123	AIM45	NA	NA	NA	NA	NA	2.83372876498127	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.25329490966428	0.358213096527292	YPR004C	S000006208	ORF	564007	565041	-1	1035	XVI	Altered Inheritance rate of Mitochondria	1035
124	ALD5	NA	NA	NA	NA	NA	2.52182851331016	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.126358034902258	0.178697246673587	YER073W	S000000875	ORF	304030	305592	1	1563	V	ALdehyde Dehydrogenase	1563
125	ALE1	NA	NA	NA	NA	NA	2.55005149452183	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0782054574634652	0.110599218596425	YOR175C	S000005701	ORF	659815	661674	-1	1860	XV	Acyltransferase for Lyso-phosphatidylEthanolamine	1860
126	ALT1	NA	NA	NA	NA	NA	2.79631249581183	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.000155158251895493	0.000219426904144707	YLR089C	S000004079	ORF	318237	320015	-1	1779	XII	ALanine Transaminase	1779
127	APE1	NA	NA	NA	NA	NA	2.33575598019425	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.11559420939033	0.1634748986516	YKL103C	S000001586	ORF	246138	247682	-1	1545	XI	AminoPeptidase	1545
128	ARE1	NA	NA	NA	NA	NA	2.5363505152653	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.256919353819219	0.363338834607272	YCR048W	S000000644	ORF	211929	213761	1	1833	III	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	1833
129	ARG5,6	NA	NA	NA	NA	NA	3.09344134857757	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.375517530548161	0.531061984610063	YER069W	S000000871	ORF	295410	298001	1	2592	V	ARGinine requiring	2592
130	ARV1	NA	NA	NA	NA	NA	2.35482662660431	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.344927678094502	0.487801400399106	YLR242C	S000004232	ORF	622918	623883	-1	966	XII	ARE2 Required for Viability	966
131	ATG1	NA	NA	NA	NA	NA	2.30477392925464	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.177238362686016	0.250652896283366	YGL180W	S000003148	ORF	160065	162758	1	2694	VII	AuTophaGy related	2694
132	ATG18	NA	NA	NA	NA	NA	2.43332175269768	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.340777129011409	0.481931637594501	YFR021W	S000001917	ORF	194812	196314	1	1503	VI	AuTophaGy related	1503
133	ATG33	NA	NA	NA	NA	NA	2.3543612451163	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.0185935401195698	0.0262952366096239	YLR356W	S000004348	ORF	840321	840914	1	594	XII	AuTophaGy related	594
134	ATG34	NA	NA	NA	NA	NA	3.34119639858405	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.407379653998262	0.576121831719202	YOL083W	S000005443	ORF	165714	166952	1	1239	XV	AuTophaGy related	1239
135	ATG38	NA	NA	NA	NA	NA	2.35099132065911	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.00614987115420407	0.00869723119312247	YLR211C	S000004201	ORF	563792	564531	-1	740	XII	AuTophaGy related	740
136	ATG41	NA	NA	NA	NA	NA	2.99348509070484	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.337823748396015	0.477754926673361	YPL250C	S000006171	ORF	74309	74719	-1	411	XVI	AuTophaGy related	411
137	ATG5	NA	NA	NA	NA	NA	2.1283057227074	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.0360068608220172	0.0509213909129772	YPL149W	S000006070	ORF	271310	272194	1	885	XVI	AuTophaGy related	885
138	ATG8	NA	NA	NA	NA	NA	2.33980327182141	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.085589587118795	0.121041954901314	YBL078C	S000000174	ORF	80378	80731	-1	354	II	AuTophaGy related	354
139	BCS1	NA	NA	NA	NA	NA	2.43021616912535	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0984732796066749	0.139262247551118	YDR375C	S000002783	ORF	1225166	1226536	-1	1371	IV	ubiquinol-cytochrome c reductase (bc1) Synthesis	1371
140	BOL1	NA	NA	NA	NA	NA	2.03794616505206	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.000900043045977572	0.00127285308234107	YAL044W-A	S000007586	ORF	57518	57850	1	333	I	BolA-like protein	333
141	BOL3	NA	NA	NA	NA	NA	3.4268830091904	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.194382522445306	0.274898399530444	YAL046C	S000000044	ORF	57029	57385	-1	357	I	BolA-like protein	357
142	CAT2	NA	NA	NA	NA	NA	2.96679052153588	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0832197861419952	0.117690550219798	YML042W	S000004506	ORF	192788	194800	1	2013	XIII	Carnitine AcetylTransferase	2013
143	CCP1	NA	NA	NA	NA	NA	2.66911362477275	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.431833726867522	0.610705113226168	YKR066C	S000001774	ORF	566113	567198	-1	1086	XI	Cytochrome c Peroxidase	1086
144	CCS1	NA	NA	NA	NA	NA	4.4541509328629	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.62984823395114	0.890739914690444	YMR038C	S000004641	ORF	347511	348260	-1	750	XIII	Copper Chaperone for SOD1	750
145	CEM1	NA	NA	NA	NA	NA	3.66153524575258	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.339611776072843	0.480283579663829	YER061C	S000000863	ORF	278298	279626	-1	1329	V	Condensing Enzyme with Mitochondrial function	1329
146	CHO1	NA	NA	NA	NA	NA	2.32701066924998	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.232833399245115	0.329276150985871	YER026C	S000000828	ORF	207644	208474	-1	831	V	CHOline requiring	831
147	CHO2	NA	NA	NA	NA	NA	2.50256183836614	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.139405611346532	0.197149306237178	YGR157W	S000003389	ORF	802440	805049	1	2610	VII	CHOline requiring	2610
148	CIR1	NA	NA	NA	NA	NA	2.38702350673388	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0779716430868242	0.110268555133901	YGR207C	S000003439	ORF	910843	911628	-1	786	VII	Changed Intracellular Redox state	786
149	COG2	NA	NA	NA	NA	NA	2.37177244846337	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.133240241664083	0.188430156815216	YGR120C	S000003352	ORF	730033	730821	-1	789	VII	Conserved Oligomeric Golgi complex	789
150	COX14	NA	NA	NA	NA	NA	2.24028014946923	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0863825321680274	0.122163348544154	YML129C	S000004598	ORF	14541	14753	-1	213	XIII	Cytochrome c OXidase	213
151	CPR5	NA	NA	NA	NA	NA	5.24318569483577	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.176203727874984	0.2491897017015	YDR304C	S000002712	ORF	1071880	1072557	-1	678	IV	Cyclosporin-sensitive Proline Rotamase	678
152	CPR6	NA	NA	NA	NA	NA	2.60672297176962	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0497693420931544	0.0703844785785251	YLR216C	S000004206	ORF	572096	573211	-1	1116	XII	Cyclosporin-sensitive Proline Rotamase	1116
153	CTA1	NA	NA	NA	NA	NA	3.27229498899622	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0668761023258768	0.0945770909079059	YDR256C	S000002664	ORF	968133	969680	-1	1548	IV	CaTalase A	1548
154	CUE5	NA	NA	NA	NA	NA	2.41573595144439	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.0470781931601802	0.0665786192591472	YOR042W	S000005568	ORF	408425	409660	1	1236	XV	Coupling of Ubiquitin conjugation to ER degradation	1236
155	DAP1	NA	NA	NA	NA	NA	2.24393007033903	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.154030624345568	0.217832197970298	YPL170W	S000006091	ORF	228314	228772	1	459	XVI	DAmage resistance Protein	459
156	DLD2	NA	NA	NA	NA	NA	2.36634033047643	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.101836228871858	0.144018176011513	YDL178W	S000002337	ORF	139522	141114	1	1593	IV	D-Lactate Dehydrogenase	1593
157	ECM10	NA	NA	NA	NA	NA	2.29953976920312	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.11136931888286	0.157500001196394	YEL030W	S000000756	ORF	94644	96578	1	1935	V	ExtraCellular Mutant	1935
158	ECM22	NA	NA	NA	NA	NA	2.44498385619288	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.041591652691922	0.0588194793184275	YLR228C	S000004218	ORF	600019	602463	-1	2445	XII	ExtraCellular Mutant	2445
159	EDE1	NA	NA	NA	NA	NA	3.12496424216061	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0871856023982105	0.123299061355218	YBL047C	S000000143	ORF	127895	132040	-1	4146	II	EH Domains and Endocytosis	4146
160	EEB1	NA	NA	NA	NA	NA	3.87596996868225	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.118992460260681	0.168280751120796	YPL095C	S000006016	ORF	368071	369441	-1	1371	XVI	Ethyl Ester Biosynthesis	1371
161	ERG20	NA	NA	NA	NA	NA	2.14316081017959	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.01611101109165	0.0227844103893548	YJL167W	S000003703	ORF	105014	106072	1	1059	X	ERGosterol biosynthesis	1059
162	ERG25	NA	NA	NA	NA	NA	2.40231096691155	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0715953686958648	0.101251141412794	YGR060W	S000003292	ORF	610564	611493	1	930	VII	ERGosterol biosynthesis	930
163	ERG28	NA	NA	NA	NA	NA	3.58901137448365	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0712281107483752	0.100731760242565	YER044C	S000000846	ORF	237570	238016	-1	447	V	ERGosterol biosynthesis	447
164	ERG29	NA	NA	NA	NA	NA	2.37892374658171	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0688969367614274	0.0974349823739721	YMR134W	S000004741	ORF	537838	538551	1	714	XIII	ERGosterol biosynthesis	714
165	ERG5	NA	NA	NA	NA	NA	2.48415989900556	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0882060534271296	0.124742197040053	YMR015C	S000004617	ORF	300869	302485	-1	1617	XIII	ERGosterol biosynthesis	1617
166	ERG8	NA	NA	NA	NA	NA	4.55587235282754	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0167847470548148	0.023737216925921	YMR220W	S000004833	ORF	712316	713671	1	1356	XIII	ERGosterol biosynthesis	1356
167	ERG9	NA	NA	NA	NA	NA	2.15337779879378	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.040561380225155	0.057362454022986	YHR190W	S000001233	ORF	484845	486179	1	1335	VIII	ERGosterol biosynthesis	1335
168	ETR1	NA	NA	NA	NA	NA	2.23526673100645	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0563923382680636	0.0797508095926268	YBR026C	S000000230	ORF	292877	294019	-1	1143	II	2-Enoyl Thioester Reductase	1143
169	FAA2	NA	NA	NA	NA	NA	3.02114638372379	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.354982139945358	0.50202055671095	YER015W	S000000817	ORF	184541	186775	1	2235	V	Fatty Acid Activation	2235
170	FAS1	NA	NA	NA	NA	NA	2.51871777240052	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.101252721550847	0.143192972044395	YKL182W	S000001665	ORF	100671	106826	1	6156	XI	Fatty Acid Synthetase	6156
171	FAS2	NA	NA	NA	NA	NA	2.91555473844301	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.123493336848236	0.174645951833484	YPL231W	S000006152	ORF	108652	114315	1	5664	XVI	Fatty Acid Synthetase	5664
172	FAT3	NA	NA	NA	NA	NA	3.55888721715296	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.090163590028776	0.127510571850943	YKL187C	S000001670	ORF	89284	91536	-1	2253	XI	FATty acid transporter 3	2253
173	FIS1	NA	NA	NA	NA	NA	4.38804406517229	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.345630554296471	0.4887954174566	YIL065C	S000001327	ORF	241308	241775	-1	468	IX	mitochondrial FISsion	468
174	FOX2	NA	NA	NA	NA	NA	2.2561092723578	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.138432691749957	0.195773390148603	YKR009C	S000001717	ORF	454352	457054	-1	2703	XI	Fatty acid OXidation	2703
175	GCD7	NA	NA	NA	NA	NA	2.2385600700469	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.107588441141674	0.152153032617135	YLR291C	S000004282	ORF	718317	719462	-1	1146	XII	General Control Derepressed	1146
176	GCN4	NA	NA	NA	NA	NA	2.26391249000858	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.12494718003799	0.176701996589998	YEL009C	S000000735	ORF	138918	139763	-1	846	V	General Control Nonderepressible	846
177	GET1	NA	NA	NA	NA	NA	2.41617076553345	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.00709087925158891	0.010028017606747	YGL020C	S000002988	ORF	457163	457870	-1	708	VII	Guided Entry of Tail-anchored proteins	708
178	GET2	NA	NA	NA	NA	NA	2.67549603286985	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0957154426165832	0.135362077076916	YER083C	S000000885	ORF	326174	327031	-1	858	V	Guided Entry of Tail-anchored proteins	858
179	GET3	NA	NA	NA	NA	NA	3.67315106290574	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0540975209766137	0.0765054478558901	YDL100C	S000002258	ORF	282112	283176	-1	1065	IV	Guided Entry of Tail-anchored proteins	1065
180	GET4	NA	NA	NA	NA	NA	2.64899766920278	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.109608274233823	0.155009507969782	YOR164C	S000005690	ORF	643394	644332	-1	939	XV	Guided Entry Tail-anchored proteins	939
181	GLO4	NA	NA	NA	NA	NA	2.29177667973648	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.201453709587046	0.284898568288371	YOR040W	S000005566	ORF	407064	407921	1	858	XV	GLyOxalase	858
182	GRS1	NA	NA	NA	NA	NA	2.83987412459615	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0346102561206629	0.0489462936030479	YBR121C	S000000325	ORF	481364	483367	-1	2004	II	Glycyl-tRNA Synthase	2004
183	GUT1	NA	NA	NA	NA	NA	4.11617706445338	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.188589514927233	0.266705849731456	YHL032C	S000001024	ORF	36379	38508	-1	2130	VIII	Glycerol UTilization	2130
184	HCH1	NA	NA	NA	NA	NA	2.95136807506079	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.434277243870584	0.614160768111788	YNL281W	S000005225	ORF	108467	108928	1	462	XIV	High-Copy Hsp90 suppressor	462
185	HFD1	NA	NA	NA	NA	NA	2.62320772761023	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0685428344582697	0.0969342060943789	YMR110C	S000004716	ORF	490394	491992	-1	1599	XIII	Homolog of Fatty aldehyde Dehydrogenase	1599
186	HMG2	NA	NA	NA	NA	NA	2.19109252566806	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.168078286627688	0.237698592489308	YLR450W	S000004442	ORF	1032627	1035764	1	3138	XII	3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase	3138
187	HSP104	NA	NA	NA	NA	NA	2.37914322602835	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0460799780026941	0.0651669298452639	YLL026W	S000003949	ORF	88623	91349	1	2727	XII	Heat Shock Protein	2727
188	HSP26	NA	NA	NA	NA	NA	4.43657761707139	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0230553288613029	0.0326051587606264	YBR072W	S000000276	ORF	382030	382674	1	645	II	Heat Shock Protein	645
189	HSP42	NA	NA	NA	NA	NA	2.6890465645191	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0174460331882225	0.0246724167443953	YDR171W	S000002578	ORF	806621	807748	1	1128	IV	Heat Shock Protein	1128
190	HSP60	NA	NA	NA	NA	NA	2.49346979051299	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0922447542074334	0.130453782457925	YLR259C	S000004249	ORF	663284	665002	-1	1719	XII	Heat Shock Protein	1719
191	HSP78	NA	NA	NA	NA	NA	2.1597861151034	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0537715443050908	0.0760444472260052	YDR258C	S000002666	ORF	971808	974243	-1	2436	IV	Heat Shock Protein	2436
192	HSV2	NA	NA	NA	NA	NA	2.19482173966135	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.188778055210369	0.266972485956921	YGR223C	S000003455	ORF	940869	942215	-1	1347	VII	Homologous with SVP1	1347
193	ICL2	NA	NA	NA	NA	NA	2.61938199503935	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0434282796455239	0.0614168620652313	YPR006C	S000006210	ORF	567269	568996	-1	1728	XVI	IsoCitrate Lyase	1728
194	ICT1	NA	NA	NA	NA	NA	2.77876438991049	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.194400923354932	0.274924422346397	YLR099C	S000004089	ORF	339744	340928	-1	1185	XII	Increased Copper Tolerance	1185
195	IDH1	NA	NA	NA	NA	NA	2.44378686140112	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.268931786083479	0.380326979232475	YNL037C	S000004982	ORF	557920	559002	-1	1083	XIV	Isocitrate DeHydrogenase	1083
196	IDH2	NA	NA	NA	NA	NA	3.11510695167453	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0748873291065175	0.105906676472335	YOR136W	S000005662	ORF	580250	581359	1	1110	XV	Isocitrate DeHydrogenase	1110
197	IDP3	NA	NA	NA	NA	NA	2.44571659882146	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.109461246331267	0.15480157911594	YNL009W	S000004954	ORF	614821	616083	1	1263	XIV	Isocitrate Dehydrogenase, NADP-dependent	1263
198	IFA38	NA	NA	NA	NA	NA	2.34604978592623	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.243787454426233	0.344767524385991	YBR159W	S000000363	ORF	558685	559728	1	1044	II		1044
199	INO1	NA	NA	NA	NA	NA	2.76339267842505	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0951786878694953	0.134602991233916	YJL153C	S000003689	ORF	134332	135933	-1	1602	X	INOsitol requiring	1602
200	IRC25	NA	NA	NA	NA	NA	2.36516481019728	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.0668016323007554	0.0944717743883889	YLR021W	S000004011	ORF	183623	184162	1	540	XII	Increased Recombination Centers	540
201	ISA2	NA	NA	NA	NA	NA	2.21572117117576	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0401073815007058	0.0567204028695699	YPR067W	S000006271	ORF	682220	682777	1	558	XVI	Iron Sulfur Assembly	558
202	ISM1	NA	NA	NA	NA	NA	2.21375679677541	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0972219577558029	0.137492611218721	YPL040C	S000005961	ORF	475993	479001	-1	3009	XVI	Isoleucyl tRNA Synthetase of Mitochondria	3009
203	ISU1	NA	NA	NA	NA	NA	3.20279517659799	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.216117199627406	0.305635874775171	YPL135W	S000006056	ORF	297553	298050	1	498	XVI	IScU homolog	498
204	IZH2	NA	NA	NA	NA	NA	2.5255206939701	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.25169754219559	0.355954077788977	YOL002C	S000005362	ORF	323411	324364	-1	954	XV	Implicated in Zinc Homeostasis	954
205	IZH4	NA	NA	NA	NA	NA	3.08270510972632	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.292853469311287	0.414157348088035	YOL101C	S000005461	ORF	126982	127920	-1	939	XV	Implicated in Zinc Homeostasis	939
206	JAC1	NA	NA	NA	NA	NA	2.04493561699658	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.00920408810635842	0.013016546229289	YGL018C	S000002986	ORF	459110	459664	-1	555	VII	J-type Accessory Chaperone	555
207	KAR2	NA	NA	NA	NA	NA	2.78644808225332	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.171755974766289	0.242899628933097	YJL034W	S000003571	ORF	381327	383375	1	2049	X	KARyogamy	2049
208	MDH1	NA	NA	NA	NA	NA	2.28250755116607	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0452171020484289	0.0639466389680964	YKL085W	S000001568	ORF	279123	280127	1	1005	XI	Malate DeHydrogenase	1005
209	MDH3	NA	NA	NA	NA	NA	3.13979842923902	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0256158617978401	0.0362262991663804	YDL078C	S000002236	ORF	315357	316388	-1	1032	IV	Malate DeHydrogenase	1032
210	MDJ1	NA	NA	NA	NA	NA	2.84968558583358	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0166018081244323	0.0234785022094881	YFL016C	S000001878	ORF	104701	106236	-1	1536	VI	Mitochondrial DnaJ	1536
211	MGA2	NA	NA	NA	NA	NA	2.48878750717586	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.119247650639914	0.168641644816095	YIR033W	S000001472	ORF	416124	419465	1	3342	IX	Multicopy suppressor of GAm1 (snf2)	3342
212	MGR2	NA	NA	NA	NA	NA	3.35670809582449	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.447762674625149	0.633232047179336	YPL098C	S000006019	ORF	364386	364727	-1	342	XVI	Mitochondrial Genome Required	342
213	MOT3	NA	NA	NA	NA	NA	2.51848452053318	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.146553556386126	0.207258027055269	YMR070W	S000004674	ORF	409154	410626	1	1473	XIII	Modifier of Transcription	1473
214	MSF1	NA	NA	NA	NA	NA	2.86570136355565	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.027256162365916	0.0385460344761215	YPR047W	S000006251	ORF	657529	658938	1	1410	XVI	Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)	1410
215	MSS2	NA	NA	NA	NA	NA	2.56785214363274	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0523931314513712	0.0740950770737256	YDL107W	S000002265	ORF	268921	269976	1	1056	IV	Mitochondrial Splicing	1056
216	MZM1	NA	NA	NA	NA	NA	2.17848229585774	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.114570512357736	0.162027172424345	YDR493W	S000002901	ORF	1436217	1436588	1	372	IV	Mitochondrial Zinc Maintenance	372
217	NAP1	NA	NA	NA	NA	NA	5.06486128072014	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.536692448912953	0.758997740075927	YKR048C	S000001756	ORF	525387	526640	-1	1254	XI	Nucleosome Assembly Protein	1254
218	NCP1	NA	NA	NA	NA	NA	2.29624982479018	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0794585830320153	0.112371405770825	YHR042W	S000001084	ORF	190543	192618	1	2076	VIII	NADP-Cytochrome P450 reductase	2076
219	NDI1	NA	NA	NA	NA	NA	2.81001829715825	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.044314667609729	0.0626704039457345	YML120C	S000004589	ORF	28266	29807	-1	1542	XIII	NADH Dehydrogenase Internal	1542
220	OPI10	NA	NA	NA	NA	NA	3.45864065844143	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.24063530041692	0.340309705435333	YOL032W	S000005392	ORF	265429	266169	1	741	XV	OverProducer of Inositol	741
221	OPI3	NA	NA	NA	NA	NA	3.48867644350492	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	2.97613121142959e-05	4.20888512260559e-05	YJR073C	S000003834	ORF	572315	572935	-1	621	X	OverProducer of Inositol	621
222	ORM2	NA	NA	NA	NA	NA	4.12480433675711	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.184736763485867	0.261257236390624	YLR350W	S000004342	ORF	828730	829380	1	651	XII		651
223	OTU1	NA	NA	NA	NA	NA	2.37339172333999	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.131664124209024	0.186201190134378	YFL044C	S000001850	ORF	44655	45560	-1	906	VI	Ovarian TUmor	906
224	PAM16	NA	NA	NA	NA	NA	2.173894310285	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.136095162538534	0.192467624635366	YJL104W	S000003640	ORF	227327	227776	1	450	X	Presequence translocase-Associated Motor	450
225	PAM18	NA	NA	NA	NA	NA	2.25116274852029	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.066756145873236	0.094407446865687	YLR008C	S000003998	ORF	165577	166083	-1	507	XII	Presequence translocase-Associated Motor	507
226	PCD1	NA	NA	NA	NA	NA	2.36138919216413	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.283084684522146	0.400342200151327	YLR151C	S000004141	ORF	441715	442737	-1	1023	XII	Peroxisomal Coenzyme A Diphosphatase	1023
227	PDA1	NA	NA	NA	NA	NA	2.54615139482142	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0786151717037789	0.111178642031774	YER178W	S000000980	ORF	546817	548079	1	1263	V	Pyruvate Dehydrogenase Alpha	1263
228	PDB1	NA	NA	NA	NA	NA	2.96202720346252	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0998538090965029	0.141214611078888	YBR221C	S000000425	ORF	665153	666253	-1	1101	II	Pyruvate Dehydrogenase Beta subunit	1101
229	PEP4	NA	NA	NA	NA	NA	3.93150603714858	NA	NA	Autophagy-coding genes	Expressed in transcriptome	0.0828473832253769	0.117163892964449	YPL154C	S000006075	ORF	259714	260931	-1	1218	XVI	carboxyPEPtidase Y-deficient	1218
230	PET100	NA	NA	NA	NA	NA	2.2048780253375	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.123000814294852	0.173949419758714	YDR079W	S000002486	ORF	603064	603399	1	336	IV	PETite colonies	336
231	PHB1	NA	NA	NA	NA	NA	2.23974567901659	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.175511563251879	0.24821083310411	YGR132C	S000003364	ORF	755589	756452	-1	864	VII	ProHiBitin	864
