rownames(topologies_DEGs_lipid_stress_data_filtered_cluster_color)	Feature	meta_logFC	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Condition	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership	Cluster_number	Color
103	YHB1	3.38809762388257	0.0309583201145935	0.043781676174346	YGR234W	S000003466	ORF	959904	961103	1	1200	VII	Yeast flavoHemogloBin	1200	Lipid metabolism-coding genes	945.515591657214	14	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
104	YOS9	2.21661760480324	0.174471702633039	0.246740248113969	YDR057W	S000002464	ORF	565927	567555	1	1629	IV	Yeast OS-9 homolog	1629	Proteostasis-coding genes	1198.26545368483	18	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
105	COG2	2.37177244846337	0.133240241664083	0.188430156815216	YGR120C	S000003352	ORF	730033	730821	-1	789	VII	Conserved Oligomeric Golgi complex	789	Autophagy-coding genes	625.70007473968	13	Non-Hub-Non-Bottleneck	NHNB	5	Cluster 5	#99732C
106	SEC17	3.78117134065255	0.00623388964928884	0.00881605128836153	YBL050W	S000000146	ORF	125125	126119	1	995	II	SECretory	995	Autophagy-coding genes	644.634025268943	22	Non-Hub-Non-Bottleneck	NHNB	5	Cluster 5	#99732C
107	SEC18	2.44302465325582	0.0790738490056211	0.111827309692792	YBR080C	S000000284	ORF	398614	400890	-1	2277	II	SECretory	2277	Lipid metabolism-coding genes	4947.36948970926	33	Hub-Bottleneck	HB	5	Cluster 5	#99732C
108	ARE1	2.5363505152653	0.256919353819219	0.363338834607272	YCR048W	S000000644	ORF	211929	213761	1	1833	III	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	1833	Lipid metabolism-coding genes	1588.44756250406	31	Hub-Non-Bottleneck	HNB	6	Cluster 6	#A6761D
109	DAP1	2.24393007033903	0.154030624345568	0.217832197970298	YPL170W	S000006091	ORF	228314	228772	1	459	XVI	DAmage resistance Protein	459	Lipid metabolism-coding genes	2714.05990549378	31	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
110	HSP78	2.1597861151034	0.0537715443050908	0.0760444472260052	YDR258C	S000002666	ORF	971808	974243	-1	2436	IV	Heat Shock Protein	2436	Lipid metabolism-coding genes	44.2333774513291	3	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
111	KAR2	2.78644808225332	0.171755974766289	0.242899628933097	YJL034W	S000003571	ORF	381327	383375	1	2049	X	KARyogamy	2049	Proteostasis-coding genes	3747.56640599325	31	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
112	ORM2	4.12480433675711	0.184736763485867	0.261257236390624	YLR350W	S000004342	ORF	828730	829380	1	651	XII		651	Proteostasis-coding genes	2088.38534222971	35	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
113	PHO86	2.23211131870409	0.0862777971831634	0.122015230908105	YJL117W	S000003653	ORF	192531	193466	1	936	X	PHOsphate metabolism	936	Proteostasis-coding genes	1039.74576399217	9	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
114	RTN1	2.87156000494014	0.0881537318257564	0.124668203121785	YDR233C	S000002641	ORF	929470	930357	-1	888	IV	ReTiculoN-like	888	Proteostasis-coding genes	992.258986098885	10	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
115	SEC4	3.05885504010985	0.0108910202323964	0.0154022285207348	YFL005W	S000001889	ORF	130334	130981	1	648	VI	SECretory	648	Autophagy-coding genes	7396.02347304343	62	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
116	SEC7	3.17714345744763	0.0292598739084138	0.0413797105146054	YDR170C	S000002577	ORF	796193	802222	-1	6030	IV	SECretory	6030	Autophagy-coding genes	3094.29054312146	30	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
117	SYT1	2.64534240177266	0.0186625207726563	0.0263927899847601	YPR095C	S000006299	ORF	721037	724717	-1	3681	XVI	Suppressor of ypt3	3681	Proteostasis-coding genes	37.3815225921656	7	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
118	TRS120	2.59713229464346	0.0275707685545798	0.0389909548149365	YDR407C	S000002815	ORF	1284069	1287938	-1	3870	IV	TRapp Subunit	3870	Autophagy-coding genes	12.4291327937208	7	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
119	YPT1	3.31045689650816	0.153457942604585	0.217022303685276	YFL038C	S000001856	ORF	55366	55986	-1	621	VI	Yeast Protein Two	621	Autophagy-coding genes	15953.7156716315	89	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
120	YPT31	4.07488462333903	0.145259389739355	0.205427799031435	YER031C	S000000833	ORF	214076	214747	-1	672	V	Yeast Protein Two	672	Autophagy-coding genes	3989.34871387217	45	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
121	YPT52	2.24482856728906	0.118492298852115	0.167573416073427	YKR014C	S000001722	ORF	465367	466071	-1	705	XI	Yeast Protein Two	705	Autophagy-coding genes	2178.7995108077	42	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
122	YPT6	2.288578041431	0.17171848183174	0.242846605916564	YLR262C	S000004252	ORF	668244	668891	-1	648	XII	Yeast Protein Two	648	Autophagy-coding genes	3770.59966553813	35	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
123	ACC1	3.13653003330877	0.160045423950225	0.22633840914616	YNR016C	S000005299	ORF	654673	661374	-1	6702	XIV	Acetyl-CoA Carboxylase	6702	Lipid metabolism-coding genes	2992.08104807778	25	Non-Hub-Bottleneck	NHB	9	Cluster 9	#CC960D
124	ACH1	2.59521321006849	0.0665561661689824	0.0941246328557323	YBL015W	S000000111	ORF	194122	195702	1	1581	II	Acetyl CoA Hydrolase	1581	Lipid metabolism-coding genes	380.966057710746	19	Non-Hub-Non-Bottleneck	NHNB	9	Cluster 9	#CC960D
125	ALD4	2.29824594323321	0.069828789969405	0.0987528218188349	YOR374W	S000005901	ORF	1039840	1041399	1	1560	XV	ALdehyde Dehydrogenase	1560	Lipid metabolism-coding genes	3730.58954372564	37	Hub-Bottleneck	HB	9	Cluster 9	#CC960D
126	ALD5	2.52182851331016	0.126358034902258	0.178697246673587	YER073W	S000000875	ORF	304030	305592	1	1563	V	ALdehyde Dehydrogenase	1563	Lipid metabolism-coding genes	1275.74860886969	28	Hub-Non-Bottleneck	HNB	9	Cluster 9	#CC960D
127	ALT1	2.79631249581183	0.000155158251895493	0.000219426904144707	YLR089C	S000004079	ORF	318237	320015	-1	1779	XII	ALanine Transaminase	1779	Lipid metabolism-coding genes	1197.60912847793	22	Non-Hub-Non-Bottleneck	NHNB	9	Cluster 9	#CC960D
128	ERG10	4.91695785892685	0.0342987601229332	0.0485057717384336	YPL028W	S000005949	ORF	498096	499292	1	1197	XVI	ERGosterol biosynthesis	1197	Lipid metabolism-coding genes	1232.5744233977	23	Non-Hub-Non-Bottleneck	NHNB	9	Cluster 9	#CC960D
129	HFD1	2.62320772761023	0.0685428344582697	0.0969342060943789	YMR110C	S000004716	ORF	490394	491992	-1	1599	XIII	Homolog of Fatty aldehyde Dehydrogenase	1599	Lipid metabolism-coding genes	6383.51432276259	41	Hub-Bottleneck	HB	9	Cluster 9	#CC960D
130	ICL2	2.61938199503935	0.0434282796455239	0.0614168620652313	YPR006C	S000006210	ORF	567269	568996	-1	1728	XVI	IsoCitrate Lyase	1728	Lipid metabolism-coding genes	279.286597780781	8	Non-Hub-Non-Bottleneck	NHNB	9	Cluster 9	#CC960D
131	IDH2	3.11510695167453	0.0748873291065175	0.105906676472335	YOR136W	S000005662	ORF	580250	581359	1	1110	XV	Isocitrate DeHydrogenase	1110	Lipid metabolism-coding genes	2160.34598582385	32	Hub-Bottleneck	HB	9	Cluster 9	#CC960D
132	IDP3	2.44571659882146	0.109461246331267	0.15480157911594	YNL009W	S000004954	ORF	614821	616083	1	1263	XIV	Isocitrate Dehydrogenase, NADP-dependent	1263	Lipid metabolism-coding genes	469.005084154605	16	Non-Hub-Non-Bottleneck	NHNB	9	Cluster 9	#CC960D
133	LAT1	2.73565701166971	0.00816609526121037	0.0115486026700344	YNL071W	S000005015	ORF	491523	492971	1	1449	XIV		1449	Lipid metabolism-coding genes	4110.80832755397	40	Hub-Bottleneck	HB	9	Cluster 9	#CC960D
134	MDH1	2.28250755116607	0.0452171020484289	0.0639466389680964	YKL085W	S000001568	ORF	279123	280127	1	1005	XI	Malate DeHydrogenase	1005	Lipid metabolism-coding genes	1262.0651420018	23	Non-Hub-Non-Bottleneck	NHNB	9	Cluster 9	#CC960D
135	MDH3	3.13979842923902	0.0256158617978401	0.0362262991663804	YDL078C	S000002236	ORF	315357	316388	-1	1032	IV	Malate DeHydrogenase	1032	Lipid metabolism-coding genes	796.892438651616	22	Non-Hub-Non-Bottleneck	NHNB	9	Cluster 9	#CC960D
136	PDA1	2.54615139482142	0.0786151717037789	0.111178642031774	YER178W	S000000980	ORF	546817	548079	1	1263	V	Pyruvate Dehydrogenase Alpha	1263	Lipid metabolism-coding genes	2913.77890560971	39	Hub-Bottleneck	HB	9	Cluster 9	#CC960D
137	PDB1	2.96202720346252	0.0998538090965029	0.141214611078888	YBR221C	S000000425	ORF	665153	666253	-1	1101	II	Pyruvate Dehydrogenase Beta subunit	1101	Lipid metabolism-coding genes	5817.26976609787	46	Hub-Bottleneck	HB	9	Cluster 9	#CC960D
138	PKP1	2.80105084520998	0.0811871787540748	0.114816009284821	YIL042C	S000001304	ORF	275108	276292	-1	1185	IX	Protein Kinase of PDH	1185	Lipid metabolism-coding genes	10.135454752482	6	Non-Hub-Non-Bottleneck	NHNB	9	Cluster 9	#CC960D
139	PCD1	2.36138919216413	0.283084684522146	0.400342200151327	YLR151C	S000004141	ORF	441715	442737	-1	1023	XII	Peroxisomal Coenzyme A Diphosphatase	1023	Lipid metabolism-coding genes	116.058563948778	9	Non-Hub-Non-Bottleneck	NHNB	11	Cluster 11	#E6AB02
140	RPL5	3.27883855095373	0.330977202810979	0.468072449051597	YPL131W	S000006052	ORF	303121	304014	1	894	XVI	Ribosomal Protein of the Large subunit	894	Proteostasis-coding genes	1977.12396001641	105	Hub-Bottleneck	HB	11	Cluster 11	#E6AB02
141	APE1	2.33575598019425	0.11559420939033	0.1634748986516	YKL103C	S000001586	ORF	246138	247682	-1	1545	XI	AminoPeptidase	1545	Autophagy-coding genes	16.9213184259248	7	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
142	ATG1	2.30477392925464	0.177238362686016	0.250652896283366	YGL180W	S000003148	ORF	160065	162758	1	2694	VII	AuTophaGy related	2694	Autophagy-coding genes	12658.7457842529	60	Hub-Bottleneck	HB	12	Cluster 12	#CCAA08
143	ATG18	2.43332175269768	0.340777129011409	0.481931637594501	YFR021W	S000001917	ORF	194812	196314	1	1503	VI	AuTophaGy related	1503	Autophagy-coding genes	3319.04512668744	35	Hub-Bottleneck	HB	12	Cluster 12	#CCAA08
144	ATG34	3.34119639858405	0.407379653998262	0.576121831719202	YOL083W	S000005443	ORF	165714	166952	1	1239	XV	AuTophaGy related	1239	Autophagy-coding genes	143.394935722244	9	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
145	ATG38	2.35099132065911	0.00614987115420407	0.00869723119312247	YLR211C	S000004201	ORF	563792	564531	-1	740	XII	AuTophaGy related	740	Autophagy-coding genes	0	8	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
146	ATG41	2.99348509070484	0.337823748396015	0.477754926673361	YPL250C	S000006171	ORF	74309	74719	-1	411	XVI	AuTophaGy related	411	Autophagy-coding genes	3.17785194326744	2	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
147	ATG5	2.1283057227074	0.0360068608220172	0.0509213909129772	YPL149W	S000006070	ORF	271310	272194	1	885	XVI	AuTophaGy related	885	Autophagy-coding genes	722.469665072473	18	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
148	ATG8	2.33980327182141	0.085589587118795	0.121041954901314	YBL078C	S000000174	ORF	80378	80731	-1	354	II	AuTophaGy related	354	Autophagy-coding genes	7104.8156021227	46	Hub-Bottleneck	HB	12	Cluster 12	#CCAA08
149	HSV2	2.19482173966135	0.188778055210369	0.266972485956921	YGR223C	S000003455	ORF	940869	942215	-1	1347	VII	Homologous with SVP1	1347	Autophagy-coding genes	555.079090906783	14	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
150	RTT106	2.17495224444793	0.0565295961533756	0.0799449215555777	YNL206C	S000005150	ORF	256788	258155	-1	1368	XIV	Regulator of Ty1 Transposition	1368	Proteostasis-coding genes	555.257015534414	25	Non-Hub-Non-Bottleneck	NHNB	14	Cluster 14	#99A813
151	SPT4	2.17492146373853	0.11056801307186	0.15636678365087	YGR063C	S000003295	ORF	617516	617824	-1	309	VII	SuPpressor of Ty's	309	Autophagy-coding genes	2423.41856122603	42	Hub-Bottleneck	HB	14	Cluster 14	#99A813
152	VPS75	2.09595960781012	0.00780962404281427	0.0110444762383829	YNL246W	S000005190	ORF	185460	186349	1	890	XIV	Vacuolar Protein Sorting	890	Proteostasis-coding genes	76.2954412339862	12	Non-Hub-Non-Bottleneck	NHNB	14	Cluster 14	#99A813
153	ZIM17	2.74503419937628	0.43668737083952	0.617569202358298	YNL310C	S000005254	ORF	51907	52431	-1	525	XIV	ZInc finger Motif protein of 17 kDa	525	Lipid metabolism-coding genes	70.8193978486739	5	Non-Hub-Non-Bottleneck	NHNB	14	Cluster 14	#99A813
154	COX14	2.24028014946923	0.0863825321680274	0.122163348544154	YML129C	S000004598	ORF	14541	14753	-1	213	XIII	Cytochrome c OXidase	213	Lipid metabolism-coding genes	3.97139591501054	4	Non-Hub-Non-Bottleneck	NHNB	23	Cluster 23	#B9459A
155	MSS2	2.56785214363274	0.0523931314513712	0.0740950770737256	YDL107W	S000002265	ORF	268921	269976	1	1056	IV	Mitochondrial Splicing	1056	Lipid metabolism-coding genes	0	2	Non-Hub-Non-Bottleneck	NHNB	23	Cluster 23	#B9459A
156	NDI1	2.81001829715825	0.044314667609729	0.0626704039457345	YML120C	S000004589	ORF	28266	29807	-1	1542	XIII	NADH Dehydrogenase Internal	1542	Lipid metabolism-coding genes	2220.12530291114	34	Hub-Bottleneck	HB	23	Cluster 23	#B9459A
157	TSA1	2.52084060871921	0.0384861258611835	0.0544276011560836	YML028W	S000004490	ORF	220138	220728	1	591	XIII	Thiol-Specific Antioxidant	591	Proteostasis-coding genes	8009.68547033044	38	Hub-Bottleneck	HB	24	Cluster 24	#A354A3
158	ERG1	2.29559144080144	0.236614641649479	0.334623635276742	YGR175C	S000003407	ORF	846933	848423	-1	1491	VII	ERGosterol biosynthesis	1491	Lipid metabolism-coding genes	736.969879522056	12	Non-Hub-Non-Bottleneck	NHNB	31	Cluster 31	#D95F02
159	ERG2	2.84641535160781	0.0614807989036252	0.0869469796350397	YMR202W	S000004815	ORF	667537	668205	1	669	XIII	ERGosterol biosynthesis	669	Lipid metabolism-coding genes	1667.34750906062	18	Non-Hub-Bottleneck	NHB	31	Cluster 31	#D95F02
160	ERG24	2.39156934559225	0.316397975222974	0.447454307667717	YNL280C	S000005224	ORF	109095	110411	-1	1317	XIV	ERGosterol biosynthesis	1317	Lipid metabolism-coding genes	487.670402733166	13	Non-Hub-Non-Bottleneck	NHNB	31	Cluster 31	#D95F02
161	ERG25	2.40231096691155	0.0715953686958648	0.101251141412794	YGR060W	S000003292	ORF	610564	611493	1	930	VII	ERGosterol biosynthesis	930	Lipid metabolism-coding genes	2804.58683795317	22	Non-Hub-Bottleneck	NHB	31	Cluster 31	#D95F02
162	ERG26	4.16948281573652	0.0109674866221408	0.0155103683261769	YGL001C	S000002969	ORF	495453	496502	-1	1050	VII	ERGosterol biosynthesis	1050	Lipid metabolism-coding genes	1638.85602565807	18	Non-Hub-Non-Bottleneck	NHNB	31	Cluster 31	#D95F02
163	ERG27	4.05001101753348	0.0784123074648817	0.110891748673805	YLR100W	S000004090	ORF	341810	342853	1	1044	XII	ERGosterol biosynthesis	1044	Lipid metabolism-coding genes	439.152296948711	15	Non-Hub-Non-Bottleneck	NHNB	31	Cluster 31	#D95F02
164	ERG28	3.58901137448365	0.0712281107483752	0.100731760242565	YER044C	S000000846	ORF	237570	238016	-1	447	V	ERGosterol biosynthesis	447	Lipid metabolism-coding genes	28.903761600659	11	Non-Hub-Non-Bottleneck	NHNB	31	Cluster 31	#D95F02
165	ERG3	3.73694516769586	0.0403611672220061	0.0570793100785695	YLR056W	S000004046	ORF	253861	254958	1	1098	XII	ERGosterol biosynthesis	1098	Lipid metabolism-coding genes	1540.122281934	19	Non-Hub-Non-Bottleneck	NHNB	31	Cluster 31	#D95F02
166	ERG5	2.48415989900556	0.0882060534271296	0.124742197040053	YMR015C	S000004617	ORF	300869	302485	-1	1617	XIII	ERGosterol biosynthesis	1617	Lipid metabolism-coding genes	760.575925514507	13	Non-Hub-Non-Bottleneck	NHNB	31	Cluster 31	#D95F02
167	ERG6	3.7664537085982	0.0131630676635583	0.0186153888122389	YML008C	S000004467	ORF	251839	252990	-1	1152	XIII	ERGosterol biosynthesis	1152	Lipid metabolism-coding genes	6353.53210456488	34	Hub-Bottleneck	HB	31	Cluster 31	#D95F02
