Feature	meta_logFC	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Condition
SEC18	2.44302465325582	0.0790738490056211	0.111827309692792	YBR080C	S000000284	ORF	398614	400890	-1	2277	II	SECretory	2277	Lipid metabolism-coding genes
SEC4	3.05885504010985	0.0108910202323964	0.0154022285207348	YFL005W	S000001889	ORF	130334	130981	1	648	VI	SECretory	648	Autophagy-coding genes
SEC7	3.17714345744763	0.0292598739084138	0.0413797105146054	YDR170C	S000002577	ORF	796193	802222	-1	6030	IV	SECretory	6030	Autophagy-coding genes
SGT2	2.12277381013652	0.0144589420693648	0.0204480319720626	YOR007C	S000005533	ORF	338938	339978	-1	1041	XV	Small Glutamine-rich Tetratricopeptide repeat-containing protein	1041	Proteostasis-coding genes
SHQ1	2.08588805837553	0.0539667448989873	0.0763205025532769	YIL104C	S000001366	ORF	169982	171505	-1	1524	IX	Small nucleolar RNAs of the box H/ACA family Quantitative accumulation	1524	Proteostasis-coding genes
SNO4	2.9753097907672	0.013581359390731	0.019206942645835	YMR322C	S000004941	ORF	918366	919079	-1	714	XIII	SNZ proximal Open reading frame	714	Proteostasis-coding genes
SOD2	2.18688541978077	0.00850198425844972	0.0120236214453822	YHR008C	S000001050	ORF	122889	123590	-1	702	VIII	SuperOxide Dismutase	702	Lipid metabolism-coding genes
SPT4	2.17492146373853	0.11056801307186	0.15636678365087	YGR063C	S000003295	ORF	617516	617824	-1	309	VII	SuPpressor of Ty's	309	Autophagy-coding genes
SSA1	3.60346807592212	0.345904524712967	0.489182870135297	YAL005C	S000000004	ORF	139503	141431	-1	1929	I	Stress-Seventy subfamily A	1929	Proteostasis-coding genes
SSA2	2.52706726591924	0.157625720291794	0.222916431415483	YLL024C	S000003947	ORF	95566	97485	-1	1920	XII	Stress-Seventy subfamily A	1920	Proteostasis-coding genes
SSA3	3.93133975972033	0.302484131237132	0.427777160798196	YBL075C	S000000171	ORF	84499	86448	-1	1950	II	Stress-Seventy subfamily A	1950	Proteostasis-coding genes
SSA4	4.27508788574088	0.387831808053205	0.548477002868521	YER103W	S000000905	ORF	364589	366517	1	1929	V	Stress-Seventy subfamily A	1929	Proteostasis-coding genes
SSB2	2.69786451799358	0.0218487445965176	0.0308987909292211	YNL209W	S000005153	ORF	252059	253900	1	1842	XIV	Stress-Seventy subfamily B	1842	Proteostasis-coding genes
SSZ1	2.93460823706992	0.0403717356000124	0.0570942560220782	YHR064C	S000001106	ORF	225525	227141	-1	1617	VIII		1617	Proteostasis-coding genes
SUV3	3.71050598177176	1.09381277865085	1.54688486626503	YPL029W	S000005950	ORF	495506	497719	1	2214	XVI	SUppressor of Var1	2214	Lipid metabolism-coding genes
SYT1	2.64534240177266	0.0186625207726563	0.0263927899847601	YPR095C	S000006299	ORF	721037	724717	-1	3681	XVI	Suppressor of ypt3	3681	Proteostasis-coding genes
TAM41	2.3060923433848	0.113808924379901	0.16095012437715	YGR046W	S000003278	ORF	584895	586052	1	1158	VII	Translocator Assembly and Maintenance	1158	Lipid metabolism-coding genes
TAZ1	2.26775018255765	0.159573789822352	0.225671417766044	YPR140W	S000006344	ORF	814391	815536	1	1146	XVI	TAfaZzin	1146	Lipid metabolism-coding genes
TES1	2.31304243101487	0.145030181117809	0.205103649090231	YJR019C	S000003780	ORF	467232	468281	-1	1050	X	ThioESterase	1050	Lipid metabolism-coding genes
TIM12	2.71323653715514	0.0359189183528599	0.0507970214803863	YBR091C	S000000295	ORF	427155	427484	-1	330	II	Translocase of the Inner Membrane	330	Proteostasis-coding genes
TIM17	2.34529324885634	0.179607141548892	0.254002855477507	YJL143W	S000003679	ORF	147101	147577	1	477	X	Translocase of the Inner Mitochondrial membrane	477	Proteostasis-coding genes
TIM54	2.62202015091787	0.185778171853367	0.262730010227911	YJL054W	S000003590	ORF	334265	335701	1	1437	X	Translocase of the Inner Mitochondrial membrane	1437	Proteostasis-coding genes
TIM8	2.16402564804133	0.0785099789821972	0.11102987705825	YJR135W-A	S000007348	ORF	676971	677234	1	264	X	Translocase of the Inner Mitochondrial membrane	264	Proteostasis-coding genes
TIM9	3.56935806198054	0.00922465644459747	0.0130456342521821	YEL020W-A	S000007256	ORF	117211	117474	1	264	V	Translocase of the Inner Mitochondrial membrane	264	Proteostasis-coding genes
TMA17	4.42313492999218	0.0230294299816793	0.0325685322138125	YDL110C	S000002268	ORF	264512	264964	-1	453	IV	Translation Machinery Associated	453	Proteostasis-coding genes
TML25	3.22545564679375	0.359897208488192	0.508971513304219	YLR118C	S000004108	ORF	384725	385408	-1	684	XII	acyl-protein Thioesterase with Multiple Localizations, protein of 25 kDa	684	Lipid metabolism-coding genes
TOM6	2.80429318356424	0.0598163816181625	0.0845931381364901	YOR045W	S000005571	ORF	413852	414037	1	186	XV	Translocase of the Outer Mitochondrial membrane	186	Proteostasis-coding genes
TOM7	2.22888159063238	0.0319772026977432	0.0452225937419019	YNL070W	S000005014	ORF	493366	493548	1	183	XIV	Translocase of the Outer Mitochondrial membrane	183	Proteostasis-coding genes
TRS120	2.59713229464346	0.0275707685545798	0.0389909548149365	YDR407C	S000002815	ORF	1284069	1287938	-1	3870	IV	TRapp Subunit	3870	Autophagy-coding genes
TSA1	2.52084060871921	0.0384861258611835	0.0544276011560836	YML028W	S000004490	ORF	220138	220728	1	591	XIII	Thiol-Specific Antioxidant	591	Proteostasis-coding genes
TSC3	3.44272280926656	0.822285527475715	1.16288734509927	YBR058C-A	S000007521	ORF	356324	356566	-1	243	II	Temperature-sensitive Suppressors of Csg2 mutants	243	Lipid metabolism-coding genes
UMP1	2.79977438225291	0.216582758854931	0.306294274948824	YBR173C	S000000377	ORF	581726	582172	-1	447	II	Ubiquitin-Mediated Proteolysis	447	Proteostasis-coding genes
UPS1	3.52505318556673	0.176100853439804	0.249044215280047	YLR193C	S000004183	ORF	540009	540536	-1	528	XII	UnProceSsed	528	Lipid metabolism-coding genes
UPS2	3.54025655967655	0.361356887493545	0.5110358111503	YLR168C	S000004158	ORF	499578	500270	-1	693	XII	UnProceSsed	693	Lipid metabolism-coding genes
VPS75	2.09595960781012	0.00780962404281427	0.0110444762383829	YNL246W	S000005190	ORF	185460	186349	1	890	XIV	Vacuolar Protein Sorting	890	Proteostasis-coding genes
WHI2	3.50768346751807	0.888563969656958	1.25661921692495	YOR043W	S000005569	ORF	410870	412330	1	1461	XV	WHIskey	1461	Autophagy-coding genes
YAP1	2.15180789228469	0.109167358087861	0.154385958376294	YML007W	S000004466	ORF	253848	255800	1	1953	XIII	Yeast AP-1	1953	Proteostasis-coding genes
YDC1	2.82171955411297	0.0117737605639456	0.0166506118696654	YPL087W	S000006008	ORF	383455	384408	1	954	XVI	Yeast DihydroCeramidase	954	Lipid metabolism-coding genes
YFH1	2.63475950264186	0.408912155782973	0.5782891165275	YDL120W	S000002278	ORF	245923	246447	1	525	IV	Yeast Frataxin Homolog	525	Lipid metabolism-coding genes
YHB1	3.38809762388257	0.0309583201145935	0.043781676174346	YGR234W	S000003466	ORF	959904	961103	1	1200	VII	Yeast flavoHemogloBin	1200	Lipid metabolism-coding genes
YJU3	2.89454306971801	0.315107388172261	0.445629141957174	YKL094W	S000001577	ORF	263349	264290	1	942	XI		942	Lipid metabolism-coding genes
YME1	3.0252055541654	0.0967223441359888	0.136786050861633	YPR024W	S000006228	ORF	610481	612724	1	2244	XVI	Yeast Mitochondrial Escape	2244	Proteostasis-coding genes
YOS9	2.21661760480324	0.174471702633039	0.246740248113969	YDR057W	S000002464	ORF	565927	567555	1	1629	IV	Yeast OS-9 homolog	1629	Proteostasis-coding genes
YPT1	3.31045689650816	0.153457942604585	0.217022303685276	YFL038C	S000001856	ORF	55366	55986	-1	621	VI	Yeast Protein Two	621	Autophagy-coding genes
YPT31	4.07488462333903	0.145259389739355	0.205427799031435	YER031C	S000000833	ORF	214076	214747	-1	672	V	Yeast Protein Two	672	Autophagy-coding genes
YPT52	2.24482856728906	0.118492298852115	0.167573416073427	YKR014C	S000001722	ORF	465367	466071	-1	705	XI	Yeast Protein Two	705	Autophagy-coding genes
YPT6	2.288578041431	0.17171848183174	0.242846605916564	YLR262C	S000004252	ORF	668244	668891	-1	648	XII	Yeast Protein Two	648	Autophagy-coding genes
ZIM17	2.74503419937628	0.43668737083952	0.617569202358298	YNL310C	S000005254	ORF	51907	52431	-1	525	XIV	ZInc finger Motif protein of 17 kDa	525	Lipid metabolism-coding genes
