SGD_name	Genes	Yeast_species	Feature	Feature_definition	Length	Condition
S000006153	YPL232W	S. cerevisiae	SSO1	Supressor of Sec One	873	Lipid metabolism-coding genes
S000006173	YPL252C	S. cerevisiae	YAH1	Yeast Adrenodoxin Homolog	519	Lipid metabolism-coding genes
S000006183	YPL262W	S. cerevisiae	FUM1	FUMarase	1467	Lipid metabolism-coding genes
S000006187	YPL266W	S. cerevisiae	DIM1	DIMethylase	957	Lipid metabolism-coding genes
S000006189	YPL268W	S. cerevisiae	PLC1	PhosphoLipase C	2610	Lipid metabolism-coding genes
S000006208	YPR004C	S. cerevisiae	AIM45	Altered Inheritance rate of Mitochondria	1035	Lipid metabolism-coding genes
S000006210	YPR006C	S. cerevisiae	ICL2	IsoCitrate Lyase	1728	Lipid metabolism-coding genes
S000006251	YPR047W	S. cerevisiae	MSF1	Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)	1410	Lipid metabolism-coding genes
S000006271	YPR067W	S. cerevisiae	ISA2	Iron Sulfur Assembly	558	Lipid metabolism-coding genes
S000006317	YPR113W	S. cerevisiae	PIS1	Phosphatidyl Inositol Synthase	663	Lipid metabolism-coding genes
S000006332	YPR128C	S. cerevisiae	ANT1	Adenine Nucleotide Transporter	987	Lipid metabolism-coding genes
S000006343	YPR139C	S. cerevisiae	LOA1	Lysophosphatidic acid: Oleoyl-CoA Acyltransferase	903	Lipid metabolism-coding genes
S000006344	YPR140W	S. cerevisiae	TAZ1	TAfaZzin	1146	Lipid metabolism-coding genes
S000006430	YDL045W-A	S. cerevisiae	MRP10	Mitochondrial Ribosomal Protein	288	Lipid metabolism-coding genes
S000007237	YER048W-A	S. cerevisiae	ISD11	Iron-Sulfur protein biogenesis, Desulfurase-interacting protein	285	Lipid metabolism-coding genes
S000007521	YBR058C-A	S. cerevisiae	TSC3	Temperature-sensitive Suppressors of Csg2 mutants	243	Lipid metabolism-coding genes
S000007586	YAL044W-A	S. cerevisiae	BOL1	BolA-like protein	333	Lipid metabolism-coding genes
S000007605	YDR379C-A	S. cerevisiae	SDH6		240	Lipid metabolism-coding genes
S000028527	YPL189C-A	S. cerevisiae	COA2	Cytochrome Oxidase Assembly	207	Lipid metabolism-coding genes
S000000644	YCR048W	S. cerevisiae	ARE1	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	1833	Lipid metabolism-coding genes
S000000846	YER044C	S. cerevisiae	ERG28	ERGosterol biosynthesis	447	Lipid metabolism-coding genes
S000001049	YHR007C	S. cerevisiae	ERG11	ERGosterol biosynthesis	1593	Lipid metabolism-coding genes
S000001084	YHR042W	S. cerevisiae	NCP1	NADP-Cytochrome P450 reductase	2076	Lipid metabolism-coding genes
S000001114	YHR072W	S. cerevisiae	ERG7	ERGosterol biosynthesis	2196	Lipid metabolism-coding genes
S000001233	YHR190W	S. cerevisiae	ERG9	ERGosterol biosynthesis	1335	Lipid metabolism-coding genes
S000001633	YKL150W	S. cerevisiae	MCR1	Mitochondrial NADH-Cytochrome b5 Reductase	909	Lipid metabolism-coding genes
S000002375	YDL216C	S. cerevisiae	RRI1	Regulator of Rub1 specific Isopeptidase	1323	Lipid metabolism-coding genes
S000002458	YDR051C	S. cerevisiae	DET1	Decreased Ergosterol Transport	1005	Lipid metabolism-coding genes
S000002621	YDR213W	S. cerevisiae	UPC2	UPtake Control	2742	Lipid metabolism-coding genes
S000002969	YGL001C	S. cerevisiae	ERG26	ERGosterol biosynthesis	1050	Lipid metabolism-coding genes
S000003292	YGR060W	S. cerevisiae	ERG25	ERGosterol biosynthesis	930	Lipid metabolism-coding genes
S000003407	YGR175C	S. cerevisiae	ERG1	ERGosterol biosynthesis	1491	Lipid metabolism-coding genes
S000003703	YJL167W	S. cerevisiae	ERG20	ERGosterol biosynthesis	1059	Lipid metabolism-coding genes
S000003929	YLL006W	S. cerevisiae	MMM1	Maintenance of Mitochondrial Morphology	1281	Lipid metabolism-coding genes
S000004046	YLR056W	S. cerevisiae	ERG3	ERGosterol biosynthesis	1098	Lipid metabolism-coding genes
S000004090	YLR100W	S. cerevisiae	ERG27	ERGosterol biosynthesis	1044	Lipid metabolism-coding genes
S000004218	YLR228C	S. cerevisiae	ECM22	ExtraCellular Mutant	2445	Lipid metabolism-coding genes
S000004442	YLR450W	S. cerevisiae	HMG2	3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase	3138	Lipid metabolism-coding genes
S000004467	YML008C	S. cerevisiae	ERG6	ERGosterol biosynthesis	1152	Lipid metabolism-coding genes
S000004540	YML075C	S. cerevisiae	HMG1	3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase	3165	Lipid metabolism-coding genes
S000004595	YML126C	S. cerevisiae	ERG13	ERGosterol biosynthesis	1476	Lipid metabolism-coding genes
S000004617	YMR015C	S. cerevisiae	ERG5	ERGosterol biosynthesis	1617	Lipid metabolism-coding genes
S000004674	YMR070W	S. cerevisiae	MOT3	Modifier of Transcription	1473	Lipid metabolism-coding genes
S000004741	YMR134W	S. cerevisiae	ERG29	ERGosterol biosynthesis	714	Lipid metabolism-coding genes
S000004815	YMR202W	S. cerevisiae	ERG2	ERGosterol biosynthesis	669	Lipid metabolism-coding genes
S000005224	YNL280C	S. cerevisiae	ERG24	ERGosterol biosynthesis	1317	Lipid metabolism-coding genes
S000005244	YNL300W	S. cerevisiae	TOS6		309	Lipid metabolism-coding genes
S000005302	YNR019W	S. cerevisiae	ARE2	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	1929	Lipid metabolism-coding genes
S000005511	YOL151W	S. cerevisiae	GRE2	Genes de Respuesta a Estres (stress responsive genes)	1029	Lipid metabolism-coding genes
S000005763	YOR237W	S. cerevisiae	HES1	Homologous to kES1	1305	Lipid metabolism-coding genes
S000005800	YOR274W	S. cerevisiae	MOD5	tRNA MODification	1287	Lipid metabolism-coding genes
S000006086	YPL165C	S. cerevisiae	SET6	SET domain-containing	1122	Lipid metabolism-coding genes
S000006091	YPL170W	S. cerevisiae	DAP1	DAmage resistance Protein	459	Lipid metabolism-coding genes
